TAX_YEAR,TAX_LIEN_INTEREST_RATE,PREMIUM_THRESHOLD
1980,0.23,-1
1981,0.19,-1
1982,0.18,-1
1983,0.18,-1
1984,0.17,-1
1985,0.15,-1
1986,0.15,-1
1987,0.16,-1
1988,0.16,-1
1989,0.16,-1
1990,0.15,-1
1991,0.12,-1
1992,0.12,-1
1993,0.13,-1
1994,0.14,-1
1995,0.14,-1
1996,0.14,-1
1997,0.14,-1
1998,0.14,-1
1999,0.15,-1
2000,0.12,-1
2001,0.1,-1
2002,0.11,5000
2003,0.12,5000
2004,0.14,3000
2005,0.15,3000
2006,0.15,3000
2007,0.11,3000
2008,0.1,3000
2009,0.1,3000
2010,0.1,5000
2011,0.1,5000
2012,0.1,5000
2013,0.1,5000
2014,0.1,5000
2015,0.1,3000
2016,0.1,3000
